    48
  -5875.0000      -2.0000     -1.5962       0.2000
  -5625.0000      -2.0000     -1.2980       0.2000
  -5375.0000      -2.0000     -1.6342       0.2000
  -5125.0000      -2.0000     -1.4827       0.2000
  -4875.0000      -2.0000     -1.7138       0.2000
  -4625.0000      -2.0000     -1.7359       0.2000
  -4375.0000      -2.0000     -2.2881       0.2000
  -4125.0000      -2.0000     -2.9850       0.2000
  -3875.0000      -2.0000     -3.4390       0.2000
  -3625.0000      -2.0000     -4.7643       0.2000
  -3375.0000      -2.0000     -6.3238       0.2000
  -3125.0000      -2.0000     -9.2142       0.2000
  -2875.0000      -2.0000    -13.3588       0.2000
  -2625.0000      -2.0000    -18.3639       0.2000
  -2375.0000      -2.0000    -23.0839       0.2000
  -2125.0000      -2.0000    -28.1967       0.2000
  -1875.0000      -2.0000    -31.4921       0.2000
  -1625.0000      -2.0000    -34.3076       0.2000
  -1375.0000      -2.0000    -36.3986       0.2000
  -1125.0000      -2.0000    -37.6642       0.2000
   -875.0000      -2.0000    -38.2292       0.2000
   -625.0000      -2.0000    -37.8483       0.2000
   -375.0000      -2.0000    -37.0098       0.2000
   -125.0000      -2.0000    -35.8814       0.2000
    125.0000      -2.0000    -34.4535       0.2000
    375.0000      -2.0000    -33.1793       0.2000
    625.0000      -2.0000    -32.6278       0.2000
    875.0000      -2.0000    -32.0494       0.2000
   1125.0000      -2.0000    -31.8103       0.2000
   1375.0000      -2.0000    -31.3969       0.2000
   1625.0000      -2.0000    -30.3003       0.2000
   1875.0000      -2.0000    -29.0963       0.2000
   2125.0000      -2.0000    -26.5247       0.2000
   2375.0000      -2.0000    -23.2394       0.2000
   2625.0000      -2.0000    -19.1360       0.2000
   2875.0000      -2.0000    -14.9126       0.2000
   3125.0000      -2.0000    -10.1390       0.2000
   3375.0000      -2.0000     -6.5567       0.2000
   3625.0000      -2.0000     -4.6002       0.2000
   3875.0000      -2.0000     -3.3454       0.2000
   4125.0000      -2.0000     -2.3065       0.2000
   4375.0000      -2.0000     -2.1269       0.2000
   4625.0000      -2.0000     -1.7255       0.2000
   4875.0000      -2.0000     -1.5590       0.2000
   5125.0000      -2.0000     -1.5222       0.2000
   5375.0000      -2.0000     -1.3577       0.2000
   5625.0000      -2.0000     -1.0322       0.2000
   5875.0000      -2.0000     -1.2050       0.2000
